url,type
lip-service.com/webzine/tag/post-apocalyptic-fashion/,non - malicious
http://www.tiendagnulinux.com.ar/calcomanias-en-vinilo?page=shop.browse&category_id=52,malicious
http://chelurao.ru/index.php?option=com_content&view=article&id=9&Itemid=10&lang=ru,malicious
linkedin.com/pub/dir/elizabeth/scarborough,non - malicious
cqgcr.ca/ang/producer01.php,non - malicious
huffingtonpost.com/2011/10/24/south-carolina-primary-case_n_1029599.html,non - malicious
http://qz.com/403774/quartz-daily-brief-japanese-military-verizon-aol-sporty-branson-saucy-swedes/,non - malicious
select.nytimes.com/gst/abstract.html?res=F70814F93B581A7A93CBA9178BD95F4C8385F9,non - malicious
startrekcostumes.net/,non - malicious
en.wikipedia.org/wiki/Neil_Curtis,non - malicious
music.carowinds.com/,non - malicious
http://9779.info/%E6%A0%91%E5%8F%B6%E7%B2%98%E8%B4%B4%E7%94%BB/,malicious
newjersey.craigslist.org/,non - malicious
roverslands.net,malicious
familypedia.wikia.com/wiki/Joseph_Philippe_Roi_de_Villere_%281727-1769%29,non - malicious
http://mylust.com/videos/232790/hentai-slut-with-big-juicy-tits-gets-fucked-doggy-style/,non - malicious
acronymfinder.com/John-Burroughs-High-school-(Burbank%2c-CA)-(JBHS).html,non - malicious
http://www.familienbund.org/index.php?option=com_content&view=article&id=291:stellungnahme-des-familienbundes-der-katholiken-zum-referentenentwurf-eines-gesetzes-zur-erweiterung-der-grosselternzeit-&catid=5:stellungnahmen&Itemid=8,malicious
http://www.vanoorschotkranen.nl/hoogwerker/hoogwerkers.pdf,malicious
youtube.com/watch?v=K_-bsYE-y08,non - malicious
myspace.com/jking909,non - malicious
http://www.academiedumeuble.ca/index.php?option=com_seminar&task=3&cid=516&sem_midx=0&sem_jidx=0&Itemid=69,malicious
corporacionrossenditotours.com,malicious
http://maslen.sk/index.php?option=com_contact&view=contact&id=37:iados-o-obchodnu-spolupracu&catid=29:dopytformular&Itemid=5,malicious
http://www.clinicatecma.es/index.php/densiometria,malicious
movies.msn.com/celebrities/celebrity/george-'gabby'-hayes/,non - malicious
idlebrain.com/news/functions/engagement-brahmini.html,non - malicious
vh1.com/video/that-metal-show/full-episodes/carmine-appice-dave-meniketti/1663564/playlist.jhtml,non - malicious
archiver.rootsweb.ancestry.com/th/read/GEN-OBIT/2007-04/1176208149,non - malicious
perezhilton.com/category/william-shatner/,non - malicious
fsnaindia.com/,non - malicious
actionjaxon666.wordpress.com/2011/02/24/new-macbook-pros-secretly-16gb-capable/,non - malicious
en.wikipedia.org/wiki/Kenji_Nojima,non - malicious
alaskajewelry.com/colored-stone-tanzanite-rings-c-21_72_91.html?=&infoBox=0,non - malicious
greenparty.ca/campaign/24048,non - malicious
http://mic.com/articles/117758/mtv-just-gave-these-artists-a-huge-platform-to-bring-attention-to-indigenous-rights,non - malicious
randomhouse.com/book/84548/tapestry-of-spies-by-stephen-hunter,non - malicious
argentinawarez.com/musica-mp3-gratis/65991-ost-boat-rocked-soundtrack-2cd-2009-a.html,non - malicious
192.com/atoz/people/gerrard/steven/,non - malicious
users6.nofeehost.com/aldenh/493.html,non - malicious
facebook.com/opalhilldrive,non - malicious
scottss.com/,non - malicious
http://drive-google-com.fanalav.com/6a7ec96d6a4b8b887e9f9ace81b40a99/,malicious
manta.com/ic/mt6fkz0/ca/residence-sault-au-recollet,non - malicious
http://www.perthshire-caravans.co.uk/stock-list/caravans/706-elddis-odyssey-540,malicious
forum.exscn.net/archive/index.php/t-10778.html?pda=1,non - malicious
superpages.com/bp/Kansas-City-KS/Kansas-City-Terminal-Railway-L2170949422.htm,non - malicious
maxlapointe.com/?p=141,non - malicious
http://rendeck.com/index.php/nl/vacatures/table/9/0/index.html?resetfilters=0,malicious
ca.ratemyteachers.com/louise-trichet/106184-s,non - malicious
cardomain.com/ride/2424103/2006-pontiac-gto,non - malicious
apps.facebook.com/ilike/artist/Les+Respectables,non - malicious
cbssports.com/nba/players/playerpage/20626/paul-pierce,non - malicious
detkreimeier-fotografie.de,malicious
http://listovka.info/xmap.html,malicious
home.comcast.net/~jcage89/350z/navbox/index.htm,non - malicious
margaritawill.com/hotdogs/,non - malicious
pipl.com/directory/name/Pallas/Tony,non - malicious
newyorker.com/archive/1982/04/12/1982_04_12_039_TNY_CARDS_000335949,non - malicious
youtube.com/watch?v=eMY1FT3Pqh8,non - malicious
law.cornell.edu/wex/Joint_venture,non - malicious
pitchfork.com/reviews/albums/13979-broken-bells/,non - malicious
http://skyrock.com/videos/eDJwODRhNzoxMw==-bug-1187-moi-ma-famille.html?top=3&period=recent,non - malicious
hollywood.com/movie/Biutiful/6870447,non - malicious
facebook.com/pages/The-Paul-Lynde-Halloween-Special-1976/280289980245,non - malicious
hot-people.info/Crossett_AR_Dorothy-Moore_Eric--Newton_1051.html,non - malicious
onlineradio7.com/listen/CFLO_1047,non - malicious
http://9779.info/%E5%8F%A4%E4%BB%A3%E4%BA%8C%E5%8D%81%E5%9B%9B%E5%AD%9D%E5%B8%83%E8%B4%B4%E7%94%BB/,malicious
http://www.jnpiraq.net/arabic/index.php?option=com_content&view=article&id=610&catid=5&Itemid=10,malicious
artistswithaids.org/artforms/music/catalogue/rileyl.html,non - malicious
http://www.versverwerktegroenten.nl/bruine-bonen.html,malicious
mylife.com/dominicbouchard,non - malicious
mmagearguide.com/ufc-117-t-shirts-silva-vs-sonnen/,non - malicious
worldtraveltours.org/4-alternative-places-you-can-choose-at-montreal-travel/.html,non - malicious
iptv.org/,non - malicious
elliscountydivorcelawyer.com/ellis-county-post-divorce-modification.htm,non - malicious
http://grantland.com/the-triangle/2015-mlb-over-under-bets-chicago-cubs-houston-astros-oakland-as-tampa-bay-rays/,non - malicious
fanpix.net/gallery/doug-savant-pictures.htm,non - malicious
chacha.com/question/what-time-does-metro-center-mall-close,non - malicious
marcospecialties.com/storeitems.asp?game=Chicago%20Coin&Chicago%20Coin=RED%20BARON%20(Blue%20Max),non - malicious
hdlns.com/g508zf1457/Kansas+City+Star+Obituaries+Obituaries+from+Kansas+City+Star+Kansas+City%2C+MO,non - malicious
familytreemaker.genealogy.com/users/v/e/r/James-R-Verrier/GENE7-0008.html,non - malicious
therainmakersmessageboard.yuku.com/,non - malicious
tumblr.com/tagged/sebastien+lefebvre,non - malicious
ussoccer.com/News/Soccer-Wire/2002/10/U-S-Soccer-Wire-Galaxy-Claims-2002-MLS-Cup-With-1-0-Double-OT-Win-Over-Revs-Will-Go-For-Rare-Double.aspx,non - malicious
filmannex.com/movie/1984-olympics-fencing-men-saber/21938,non - malicious
allaboutjazz.com/php/musician.php?id=3751,non - malicious
info-pages.000webhostapp.com,malicious
skiracing.com/?q=node/514,non - malicious
myptccash.com,malicious
ertx.com/movie/2008/mad-about-mambo,non - malicious
classicbikepictures.co.uk/c319/p2499/for_sale/yamaha%C2%A0yfu1wyfu1-t_for_sale.html,non - malicious
http://thenextweb.com/dd/2011/05/09/squarespace-to-begin-version-6-beta-testing/gtm.js/gtm.js,non - malicious
http://ecoledecoiffurecarolinelaprise.com/formations/pose-ongles/108.html,malicious
mtlasm.blogspot.com/,non - malicious
http://chinacxyy.com/piccodejs-000.asp?lm2=191&x=3&y=2&w=90&h=63&open=1&n=10&tj=0,malicious
medicinenet.com/heel_spurs/city.htm,non - malicious
music.yahoo.com/nothingface/,non - malicious
http://9779.info/%E6%8A%98%E7%BA%B8%E6%89%87%E5%AD%90%E6%8B%BC%E8%B4%B4%E7%94%BB/,malicious
espn.go.com/college-football/team/_/id/2306/kansas-state-wildcats,non - malicious
bleacherreport.com/articles/811265-mlb-power-rankings-comparing-every-mlb-team-to-a-classic-80s-rock-band,non - malicious
citiprepaid-salarysea-at.tk,malicious
famoushookups.com/site/relationship_detail.php?name=Martin-Brodeur&celebid=12150&relid=11371,non - malicious
genealogybuff.com/ar/clark/webbbs_config.pl/noframes/read/10,non - malicious
microlabsltd.com/,non - malicious
tripadvisor.com/ShowUserReviews-g57417-d1013388-r21219909-Mulligan_s-Stratton_Mountain_Vermont.html,non - malicious
http://www.smc-images.co.uk/images/index_hvoda_2311_10.html,malicious
flickr.com/people/sleepingelf/,non - malicious
http://www.nabu-gaildorf.de/index.php?option=com_jevents&task=day.listevents&year=2013&month=01&day=01&Itemid=33,malicious
subscene.com/Taking-Woodstock/subtitles-80048.aspx,non - malicious
http://kccs.nichost.ru/index.php?option=com_content&view=article&id=107:-24052012-213&catid=17:news&Itemid=35,malicious
http://www.nubiafarias.com/v1/index.php?option=com_mailto&tmpl=component&link=b9f337d1ca40d09a113ab5ae6426a96e642fb2af,malicious
http://thenextweb.com/insider/2014/10/29/unbabel-integrates-mailchimp-offer-translation-service-promotional-emails/gtm.js/gtm.start,non - malicious
tabs.ultimate-guitar.com/a/audioslave/audioslave_album_btab.htm,non - malicious
sunjournal.com/section/news/5974,non - malicious
http://www.elektro-vozila.si/motocikli/novice/volta-bcn-city-je-elektricni-mestni-supermoto-iz-spanije,malicious
ethicalsuperstore.com/products/green-and-blacks/organic-hot-chocolate-drink/?_$ja=tsid:6494%7Ccc:%7Cprd:12744%7Ccat:Groceries+%26+Everyday+%3E+Drinks+%3E+Chocolate,non - malicious
lilliputreview.blogspot.com/2011/04/r-h-blyth-on-waka-and-haiku.html,non - malicious
http://www.musimagen.com/lista_socios.php?pagina=15&letra=,malicious
basketball.wikia.com/wiki/Golden_State_Warriors,non - malicious
ech.cwru.edu/ech-cgi/article.pl?id=PGS,non - malicious
filmaffinity.com/es/search.php?stype=cast&stext=Elliott+Gould,non - malicious
chicopeemasoniclodge.org/westover.htm,non - malicious
filmcritic.com/features/2008/10/american-science-fiction-movies/,non - malicious
geographic.org/geographic_names/v/ve_014.html,non - malicious
paperbackswap.com/Sadie-Rose-Adventure-Hilda-Stahl/book/0891076352/,non - malicious
baseball-almanac.com/players/player.php?p=hengeda01,non - malicious
biographi.ca/EN/ShowBio.asp?BioId=41243,non - malicious
deborahfrances-white.com/stand-up.html,non - malicious
spcmoray.com/,non - malicious
http://sexshop-bg.biz/products?page=shop.browse&category_id=276,malicious
edu.gov.on.ca/eng/sift/indexSec.asp,non - malicious
benoitglazer.com/,non - malicious
judgepedia.org/index.php/Alan_Gold,non - malicious
http://mueblesjulianjimenez.es/index.php?page=shop.browse&category_id=14&option=com_virtuemart&Itemid=9,malicious
sbnation.com/ncaa-football/players/36729/brandon-smith,non - malicious
isearch.com/searching.php?qloc=&showForm=name&qname=Robin+Kelly&refer=3338,non - malicious
http://fischereiverein.org/bildergalerie/category/45-faenge-oktober-2010,malicious
ratemyteachers.com/amelia-high-school/15131-s,non - malicious
http://www.expatsalon.ru/index.php/2009-03-04-07-22-09/category/7-.html?start=20,malicious
http://apoiojur.com.br/index.php?%2FTable%2FAdministrativo%2F,malicious
http://www.steffen-lemme.de/contact/berliner-buero/besuch-in-berlin,malicious
http://djsipke.nl/foto-album/1-cafedeknyp/detail/74-104.html?tmpl=component,malicious
carfloormatsforsale.com/door-sill/,non - malicious
http://www.harley-davidson-dijon.com/component/adsmanager/1-/737-,malicious
facebook.com/pages/Liberman-Broadcasting/106123536086051?sk=info,non - malicious
thefreelibrary.com/No+Catholic+schools+in+Quebec.-a030534573,non - malicious
cngzhz.en.ec21.com/,non - malicious
atlasshrugs2000.typepad.com/atlas_shrugs/2007/08/your-black-musl.html,non - malicious
rotoworld.com/player/nhl/1413/player?r=1,non - malicious
facebook.com/topic.php?uid=34012632110&topic=5794,non - malicious
tomdegan.blogspot.com/,non - malicious
http://www.smartphone.net.br/index.php?option=com_content&view=article&id=66&Itemid=60&lang=pt,malicious
http://www.annamodlo.com.ua/index.html,malicious
http://codecanyon.net/item/hide-my-joomla-hide-your-source-links/full_screen_preview/8988449,non - malicious
cswisdom.com/,non - malicious
http://www.aquamarinadivingtenerife.com/en/sites-of-interest.html,malicious
http://www.lafavoritacb.com/index.php?option=com_content&view=article&id=107:horarioinvierno&catid=43:articulos&Itemid=77,malicious
ibabuzz.com/outtakes/category/night-owl/crown-city-rockers/,non - malicious
youtube.com/watch?v=ueziUAQR9LU,non - malicious
en.wikipedia.org/wiki/Simonne_Monet-Chartrand,non - malicious
http://www.sidecocarrelli.it/x.txt,malicious
http://www.metalsul.ind.br/site/index.php?option=com_morfeoshow&Itemid=,malicious
martindale.com/Brett-Donald-McIntosh/834737-lawyer.htm,non - malicious
frillr.com/?q=taxonomy/term/1733,non - malicious
bankingblog.celent.com/?p=2493,non - malicious
en.wikipedia.org/wiki/Category:American_religious_leaders,non - malicious
narrativemagazine.com/authors/saul-bellow,non - malicious
benmeadowcroft.com/reports/corbato/,non - malicious
spokeo.com/Mike+Burrows,non - malicious
http://otomoto.pl/ciezarowe/EW4Hou_aN610rPsocimkJ_IuLBofatBy4b0MLqoh7Lf.B7/JOcK7gzdoyrcIT2176iLzhCz8UoPOGcT6Y1ax8FNTPf.l7,non - malicious
youtube.com/watch?v=FXWq7qMYB2s,non - malicious
cifstate.org/,non - malicious
nchsband.com/,non - malicious
tvguide.com/celebrities/peter-keleghan/169984,non - malicious
arstechnica.com/apple/news/2011/07/how-charlie-miller-discovered-the-apple-battery-hackhow-a-security-researcher-discovered-the-apple-battery-hack.ars,non - malicious
blog.metmuseum.org/penandparchment/tag/hours-of-jeanne-devreux/,non - malicious
divacafe.net/,non - malicious
archive.org/stream/lifeofmaryqueeno00headuoft/lifeofmaryqueeno00headuoft_djvu.txt,non - malicious
http://buzzfil.net/article/5646/animaux/on-dirait-une-attaque-mais-la-realite-en-est-tout-autre-3.html?href=inner_website,non - malicious
http://portal.dddgaming.com/docs/rules/15022/cn/game_cn.html?amluMjAxNQ%3D%3D,malicious
manta.com/c/mmq1m7y/coldwell-banker-heart-america,non - malicious
superpages.com/bp/Milford-OH/Cliff-Riley-Insurance-L0125750056.htm,non - malicious
ideas.repec.org/e/ppe73.html,non - malicious
http://www.school91.kiev.ua/index.php?option=com_content&view=category&layout=blog&id=38&Itemid=57,malicious
flickr.com/photos/cornforthimages/5812399737/,non - malicious
http://djkatrina.ru/sobytiya/meropriyatiya/klub-prime-otkryvaetsya-posle-remonta-i-razdaet-podarki.html,malicious
national.citysearch.com/profile/45753728/vacaville_ca/fentons_creamery.html,non - malicious
http://yourlust.com/videos/tight-euro-teen-anna-gets-properly-fucked-on-the-floor.html,non - malicious
nytimes.com/pages/books/index.html,non - malicious
legendsofhockey.net/LegendsOfHockey/jsp/SearchPlayer.jsp?player=10372,non - malicious
http://szgs.ru/information-for-you/interesting-articles/13-2008-08-04-06-37-10.html,malicious
http://www.sandroecicero.com.br/index.php?option=com_content&view=article&id=1&Itemid=3&vsig1_0=18,malicious
homegain.com/local_real_estate/ND/argusville.html,non - malicious
http://9779.info/%E7%AE%80%E5%8D%95%E6%8A%98%E7%BA%B8%E7%B2%98%E8%B4%B4%E7%94%BB/,malicious
http://noticias.uol.com.br/album/bbc/2015/04/01/obras-de-anel-rodoviario-de-r-68-bilhoes-afetam-rios-e-nascentes-em-sp.htm,non - malicious
theglobeandmail.com/news/opinions/editorials/in-the-commons-the-kids-are-alright/article2011610/,non - malicious
bw.edu/athletics/fb/staff/grabowski/,non - malicious
appieid-enable.com,malicious
fadsplymouth.com/,non - malicious
locatetv.com/tv/ellen-degeneres-show/1964142/episode-guide,non - malicious
imdb.com/name/nm0769371/,non - malicious
scotborders-folk.org.uk/labels.htm,non - malicious
visa.ca/gvav/list2005.jsp?year=2005&curMonth=12,non - malicious
autopostoajax.com.br,malicious
en.wikipedia.org/wiki/Party_of_One_(Peter_Elkas_album),non - malicious
http://kienthuc.net.vn/diem-thi/diem-chuan-dai-hoc-bach-khoa-ha-noi-nam-2014-487293.html,non - malicious
http://pikabu.ru/tag/%D0%BC%D0%B8%D0%BD%D0%B8%D0%BC%D0%B0%D0%BB%D0%B8%D0%B7%D0%BC/hot,non - malicious
http://www.ekino-neureut.de/index.php?option=com_content&view=article&id=15&Itemid=15,malicious
http://www.rockabilly.it/gruppi/52-four-stars.html,malicious
http://www.rathgaelgym.org/squads/mag.1,malicious
absoluteastronomy.com/topics/Legion_of_Merit,non - malicious
thaiairways.com/,non - malicious
famouspeople.com/famous_biographies/Lizzie_Stanton.htm,non - malicious
triclopsband.com/,non - malicious
mp3raid.com/music/lo_key.html,non - malicious
amtrakcalifornia.com/index.cfm/routes/san-joaquin/,non - malicious
4martinique.com/,non - malicious
http://apoiojur.com.br/index.php?%2FNoticias%2Fnoticias.html,malicious
